Date,Opponent,Home/Away,Competition,Goals Scored,Goals Conceded,Possession (%),Shots on Target,xG,Pass Accuracy (%),Tackles Won,Key Passes,Result,Injury Impact (%),Rest Days Before Match,Opponent Strength (ELO Rating),Weather Conditions,Managerial Change (Yes/No)
01-01-2020,Villarreal,Home,Copa del Rey,5,4,67,1,1.4,93,11,3,Win,23,9,1714,Windy,Yes
11-01-2020,Mallorca,Home,Copa del Rey,2,3,53,4,3.25,88,17,14,NotWin,0,9,1681,Cold,Yes
21-01-2020,Real Madrid,Home,La Liga,0,4,56,10,2.94,83,6,3,NotWin,17,10,1752,Sunny,Yes
25-01-2020,Mallorca,Away,La Liga,4,5,71,2,2.97,89,5,14,NotWin,25,8,1514,Cold,Yes
28-01-2020,Valencia,Home,Champions League,1,0,66,1,2.96,88,20,13,Win,10,3,1852,Windy,Yes
29-01-2020,Valencia,Away,Copa del Rey,0,5,45,1,1.51,94,16,10,NotWin,22,3,1849,Rainy,No
18-02-2020,Levante,Away,Copa del Rey,0,5,46,1,0.51,86,18,11,NotWin,28,9,1883,Cold,Yes
20-02-2020,Real Sociedad,Away,Copa del Rey,1,0,73,4,1.94,81,5,8,Win,19,7,1623,Windy,No
20-02-2020,Osasuna,Home,La Liga,5,0,74,3,1,82,9,7,Win,27,8,1834,Rainy,Yes
24-02-2020,Atletico Madrid,Home,La Liga,4,2,74,10,1.23,89,20,14,Win,20,5,1947,Windy,No
13-03-2020,Espanyol,Home,Champions League,3,5,72,6,2.6,81,18,12,NotWin,17,7,1521,Windy,Yes
29-03-2020,Athletic Club,Away,Copa del Rey,2,0,67,6,2.58,80,16,12,Win,3,6,1596,Sunny,Yes
31-03-2020,Espanyol,Home,La Liga,2,4,61,1,1.82,84,20,15,NotWin,15,7,1850,Sunny,Yes
31-03-2020,Mallorca,Home,Champions League,2,0,56,9,3.27,90,20,14,Win,12,4,1543,Sunny,Yes
05-04-2020,Villarreal,Home,Champions League,3,4,73,2,2.84,82,19,5,NotWin,6,9,1588,Sunny,Yes
06-04-2020,Osasuna,Away,La Liga,0,2,62,2,0.88,92,5,13,NotWin,29,9,1646,Windy,Yes
08-04-2020,Levante,Away,Champions League,2,0,73,6,2.12,88,11,13,Win,15,3,1659,Cold,No
18-04-2020,Atletico Madrid,Home,Champions League,0,3,67,3,2.29,90,5,7,NotWin,30,6,1616,Rainy,No
27-04-2020,Mallorca,Away,La Liga,2,0,56,1,2.43,87,7,5,Win,8,4,1586,Windy,No
29-04-2020,Villarreal,Home,La Liga,3,2,53,2,3.03,80,14,12,Win,17,5,1667,Cold,Yes
05-05-2020,Espanyol,Home,Champions League,2,3,66,8,1.94,85,10,6,NotWin,26,4,1638,Cold,Yes
06-05-2020,Granada,Away,La Liga,1,3,62,8,2.02,95,19,6,NotWin,18,5,1805,Sunny,Yes
12-05-2020,Getafe,Home,Copa del Rey,4,0,55,5,1.21,81,20,4,Win,22,4,1659,Rainy,Yes
20-05-2020,Real Sociedad,Home,Copa del Rey,1,1,55,4,3.14,80,17,11,NotWin,16,7,1691,Cold,Yes
25-05-2020,Getafe,Away,La Liga,1,3,69,10,1.07,91,12,15,NotWin,10,9,1918,Sunny,No
04-06-2020,Osasuna,Away,La Liga,0,1,72,3,2.75,95,11,6,NotWin,12,6,1529,Rainy,Yes
09-06-2020,Valencia,Away,Champions League,1,0,66,4,2.09,95,11,5,Win,11,10,1647,Rainy,Yes
14-06-2020,Atletico Madrid,Away,La Liga,3,1,74,3,0.8,82,5,13,Win,2,3,1867,Sunny,No
17-06-2020,Espanyol,Away,Champions League,2,0,48,7,2.93,86,5,9,Win,1,7,1932,Cold,Yes
29-06-2020,Espanyol,Home,La Liga,4,5,53,10,0.95,89,8,14,NotWin,3,5,1912,Rainy,Yes
17-07-2020,Villarreal,Away,La Liga,2,4,50,2,1.4,88,16,3,NotWin,5,6,1737,Sunny,Yes
23-07-2020,Villarreal,Home,Champions League,3,3,52,10,1.02,94,12,8,NotWin,26,5,1620,Rainy,No
04-08-2020,Getafe,Away,Copa del Rey,3,3,57,4,0.93,83,20,14,NotWin,12,6,1817,Windy,Yes
10-08-2020,Mallorca,Away,La Liga,5,5,63,9,2.83,82,17,7,NotWin,11,6,1596,Cold,No
16-08-2020,Athletic Club,Home,La Liga,2,2,65,6,2.88,83,12,12,NotWin,14,7,1731,Cold,No
18-08-2020,Atletico Madrid,Home,La Liga,3,1,64,7,0.82,83,9,12,Win,7,9,1549,Rainy,Yes
